OBJECTID,ORIG_FID,LON,LAT
1,1,145.9732358,-16.60644003
2,1,145.9734118,-16.60637443
3,1,145.9747506,-16.60605564
4,1,145.9749469,-16.60602038
5,1,145.9750327,-16.60600901
6,1,145.9750677,-16.60601066
7,1,145.9752097,-16.60601745
8,1,145.9752812,-16.60602464
9,1,145.9753789,-16.60608884
10,1,145.9753928,-16.60610447
11,1,145.9754484,-16.60629184
12,1,145.9754503,-16.60630568
13,1,145.9754479,-16.60631156
14,1,145.9752376,-16.60644312
15,1,145.9747404,-16.60663471
16,1,145.9738641,-16.60690513
17,1,145.9733656,-16.60704142
18,1,145.9731486,-16.60709835
19,1,145.9728744,-16.60713458
20,1,145.9728665,-16.60713351
21,1,145.9727735,-16.60702267
22,1,145.9727575,-16.60699182
23,1,145.972748,-16.60693413
24,1,145.9727614,-16.6068062
25,1,145.9729208,-16.60662099
26,1,145.9732358,-16.60644003
